frame,nose_x,nose_y,nose_detected,left_eye_x,left_eye_y,left_eye_detected,right_eye_x,right_eye_y,right_eye_detected,left_ear_x,left_ear_y,left_ear_detected,right_ear_x,right_ear_y,right_ear_detected,left_shoulder_x,left_shoulder_y,left_shoulder_detected,right_shoulder_x,right_shoulder_y,right_shoulder_detected,left_elbow_x,left_elbow_y,left_elbow_detected,right_elbow_x,right_elbow_y,right_elbow_detected,left_wrist_x,left_wrist_y,left_wrist_detected,right_wrist_x,right_wrist_y,right_wrist_detected,left_hip_x,left_hip_y,left_hip_detected,right_hip_x,right_hip_y,right_hip_detected,left_knee_x,left_knee_y,left_knee_detected,right_knee_x,right_knee_y,right_knee_detected,left_ankle_x,left_ankle_y,left_ankle_detected,right_ankle_x,right_ankle_y,right_ankle_detected
0,[     2586.6],[     244.42],True,[     2590.8],[     236.17],True,[          0],[          0],True,[     2609.9],[     231.83],True,[          0],[          0],True,[     2654.2],[     254.09],True,[     2619.9],[     271.77],True,[     2685.3],[     293.18],True,[     2657.9],[     329.21],True,[     2643.1],[     331.64],True,[     2639.2],[     356.66],True,[     2714.8],[     372.73],True,[     2677.8],[     382.56],True,[     2761.9],[     457.53],True,[       2643],[     463.88],True,[     2832.8],[     532.22],True,[     2708.5],[     541.41],True
1,[       2611],[     247.05],True,[     2615.9],[     238.55],True,[          0],[          0],True,[     2636.2],[     233.41],True,[          0],[          0],True,[     2672.3],[     258.98],True,[     2660.2],[     267.14],True,[     2714.6],[     296.05],True,[     2689.6],[      322.6],True,[     2676.4],[     336.73],True,[     2666.4],[     358.68],True,[     2741.7],[     373.22],True,[     2727.7],[     377.53],True,[     2749.4],[     468.82],True,[     2721.4],[     472.84],True,[     2836.7],[     546.19],True,[     2779.6],[     549.96],True
2,[     2599.4],[     250.16],True,[     2602.5],[     241.25],True,[          0],[          0],True,[     2619.3],[     234.42],True,[          0],[          0],True,[     2662.6],[     256.58],True,[       2637],[      270.9],True,[     2702.7],[     287.57],True,[     2668.8],[     329.41],True,[     2670.5],[      335.4],True,[     2653.4],[     363.98],True,[     2732.8],[     375.58],True,[     2705.8],[     382.99],True,[     2752.1],[      467.5],True,[       2693],[        475],True,[     2841.6],[     534.51],True,[     2748.3],[     555.65],True
3,[     786.77],[     76.497],True,[     787.45],[     73.701],True,[          0],[          0],True,[     2599.7],[     238.31],True,[          0],[          0],True,[       2646],[     257.38],True,[     2621.6],[     276.18],True,[     2687.3],[     286.11],True,[     2658.9],[     337.35],True,[     2662.2],[     337.82],True,[     803.18],[     111.23],True,[     2716.7],[     376.84],True,[     2690.1],[     386.89],True,[     2739.6],[     466.85],True,[     2679.5],[     476.93],True,[     2835.2],[     524.78],True,[     2736.6],[     558.84],True
4,[     7.9202],[     1.7916],True,[     7.6072],[     1.6336],True,[          0],[          0],True,[     2588.1],[     241.48],True,[          0],[          0],True,[     2634.2],[     259.87],True,[     2612.9],[     279.63],True,[     2676.4],[        287],True,[     2652.6],[     347.15],True,[     2655.2],[     342.53],True,[     8.1751],[     2.5107],True,[     2703.2],[     378.98],True,[     2678.9],[     389.48],True,[     2723.2],[     471.09],True,[     2671.9],[     478.69],True,[     2823.7],[     517.01],True,[       2730],[     560.18],True
5,[    -355.91],[    -33.171],True,[     1009.9],[     101.54],True,[          0],[          0],True,[     2581.2],[     245.07],True,[          0],[          0],True,[     2626.7],[     265.22],True,[     2605.7],[     282.61],True,[     2666.1],[     292.61],True,[     2643.6],[     350.41],True,[     2647.7],[     352.19],True,[     1037.3],[     160.63],True,[     2693.5],[     381.11],True,[     2670.4],[     390.47],True,[     2707.6],[     478.06],True,[     2666.7],[      483.8],True,[     2808.3],[     516.14],True,[     2728.3],[     558.65],True
6,[      708.6],[     74.568],True,[     1618.7],[     161.23],True,[          0],[          0],True,[     2578.1],[     247.03],True,[          0],[          0],True,[     2624.3],[     268.74],True,[     2603.5],[     283.05],True,[     2660.8],[     295.13],True,[     2638.3],[     350.73],True,[     2642.8],[     357.73],True,[     1661.2],[     256.31],True,[     2689.4],[     381.43],True,[     2665.8],[      389.7],True,[     2700.5],[     481.61],True,[     2666.6],[     485.99],True,[     2800.5],[     511.13],True,[     2730.1],[     558.09],True
7,[     270.22],[     30.683],True,[     2009.1],[     200.19],True,[          0],[          0],True,[       2575],[     248.72],True,[          0],[          0],True,[     2619.9],[     272.52],True,[     2599.5],[     284.69],True,[     2657.1],[     303.25],True,[       2631],[     351.97],True,[       2637],[     366.23],True,[       2057],[     319.91],True,[     2685.8],[     382.78],True,[       2664],[     389.84],True,[     2689.3],[     484.74],True,[     2662.8],[      487.1],True,[     2789.7],[     515.63],True,[     2730.7],[     552.58],True
8,[    -1.5639],[      3.263],True,[     2263.3],[     227.23],True,[          0],[          0],True,[       2567],[     250.23],True,[          0],[          0],True,[     2612.5],[     274.65],True,[     2592.9],[     284.41],True,[       2650],[     316.54],True,[     2620.8],[      352.5],True,[     2623.6],[     378.55],True,[     2314.4],[     362.63],True,[     2678.4],[      383.8],True,[     2659.5],[     389.54],True,[     2674.9],[     485.27],True,[     2659.4],[     485.56],True,[     2772.5],[     524.11],True,[     2740.8],[     539.77],True
9,[     844.39],[     91.233],True,[     2433.3],[     245.14],True,[          0],[          0],True,[     2561.3],[      250.9],True,[          0],[          0],True,[     2605.3],[      275.4],True,[     2585.5],[     286.28],True,[       2644],[     319.11],True,[     2607.7],[     351.61],True,[       2619],[     376.48],True,[     2479.3],[     388.19],True,[     2668.6],[     382.06],True,[     2650.9],[     387.78],True,[     2659.2],[     479.94],True,[       2648],[     481.43],True,[     2750.8],[     523.02],True,[     2726.9],[     530.08],True
10,[     499.37],[     55.362],True,[     2539.4],[     256.81],True,[          0],[          0],True,[     2551.2],[     251.74],True,[          0],[          0],True,[     2595.5],[     276.12],True,[     2577.9],[     288.87],True,[     2636.4],[     319.86],True,[     2596.6],[     352.59],True,[     2610.2],[     375.15],True,[     2581.1],[     405.61],True,[     2658.9],[     380.78],True,[     2644.2],[     386.98],True,[     2642.9],[      477.5],True,[     2638.3],[     480.95],True,[     2725.9],[     527.39],True,[     2715.5],[      529.8],True
11,[     1200.5],[     129.61],True,[     2602.9],[     264.77],True,[          0],[          0],True,[     2543.4],[     252.63],True,[          0],[          0],True,[     2587.9],[      277.1],True,[     2568.5],[     291.33],True,[     2628.4],[     319.87],True,[     2582.9],[     352.94],True,[     2603.8],[     371.95],True,[     2635.3],[      417.6],True,[     2651.3],[     381.13],True,[     2636.8],[     387.59],True,[     2626.2],[     476.36],True,[     2625.3],[      480.7],True,[     2703.6],[     528.64],True,[     2702.6],[     526.91],True
12,[     1737.5],[     186.32],True,[     2636.8],[     269.19],True,[          0],[          0],True,[     2538.2],[     253.09],True,[          0],[          0],True,[     2582.9],[     277.58],True,[     2562.1],[     293.13],True,[     2622.9],[     319.43],True,[     2573.5],[     353.32],True,[     2599.4],[     369.05],True,[     2662.4],[     424.17],True,[     2646.5],[     381.26],True,[       2632],[     388.02],True,[     2615.1],[     475.31],True,[       2616],[     480.44],True,[     2688.8],[     529.38],True,[     2693.3],[     525.21],True
13,[     2129.8],[     227.19],True,[     2644.6],[     269.68],True,[          0],[          0],True,[     2531.7],[     252.02],True,[          0],[          0],True,[       2574],[     276.69],True,[     2558.3],[     292.36],True,[     2610.5],[     322.14],True,[     2566.3],[     353.51],True,[     2580.8],[     369.28],True,[     2665.9],[     424.44],True,[     2641.4],[     381.14],True,[     2631.7],[     388.03],True,[     2601.2],[     476.31],True,[     2615.8],[     481.44],True,[     2673.7],[     533.34],True,[     2699.6],[     526.59],True
